Algae,Round ,Day ,Treatment,Replicate,Chl,OD750,OD750_filt,AlgaeConc,BacteriaConc,DOC,TDN,BulkLipids,ExtLipids,Salinity,FvFm,PC,PN,Vol,pH,PO4,NH4,Si,DIC,TOC_rate,POC_rate
C323,3,0,F,C,6.56,0.047,0.0443,0.038,0.65,26.4,405.9,493.3,8.7,33,0.529,1.89,0.21,25.9,7.817,112.5,360.6,626.8,3663,93,79.7
C323,3,0,R,D,6.45,0.0457,0.0473,0.034,0.498,151.7,463.7,529.3,30,32,0.506,2.79,0.12,24.1,8.491,101.5,384,866.1,10771,74.1,68.6
C323,3,0,R,E,6.66,0.0467,0.0467,0.025,0.706,161.9,412.5,490.3,37,33,0.521,2.25,0.3,25.5,8.481,97.2,344.7,882.7,11081,81.4,70.7
C323,3,0,R,F,6.61,0.046,0.0423,0.021,0.692,132.6,458.3,502,30.7,33,0.478,2.3,0.03,24.4,8.517,85.2,398.2,877.2,10823,76.6,68.3
C323,3,1,F,A,10.7,0.05,NA,0.085,1.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.417,NA,NA,NA,NA,NA,NA
C323,3,1,F,B,10.8,0.049,NA,0.106,1.693,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.373,NA,NA,NA,NA,NA,NA
C323,3,1,F,C,11.7,0.049,NA,0.101,1.722,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.38,NA,NA,NA,NA,NA,NA
C323,3,1,R,D,5.25,0.0473,NA,0.015,1.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.782,NA,NA,NA,NA,NA,NA
C323,3,1,R,E,6.8,0.0483,NA,0.018,1.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.789,NA,NA,NA,NA,NA,NA
C323,3,1,R,F,6.19,0.047,NA,0.017,1.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.784,NA,NA,NA,NA,NA,NA
C323,3,2,F,A,31.8,0.0613,0.0437,0.401,3.055,22.4,258.9,NA,NA,NA,0.586,15.78,2.52,24.8,8.478,NA,NA,NA,3052,999.5,930.5
C323,3,2,F,B,31.2,0.059,0.0467,0.422,3.083,22.6,264.8,NA,NA,NA,0.576,15.88,2.39,24.7,8.445,NA,NA,NA,3072,980.5,905.5
C323,3,2,F,C,31.8,0.061,0.0513,0.409,3.017,30.3,255.3,NA,NA,NA,0.577,15.68,2.74,25.5,8.438,NA,NA,NA,3046,1024.9,927.5
C323,3,2,R,D,4.75,0.0493,0.0443,0.019,4.563,139.3,390.5,NA,NA,NA,0.345,3.84,0.51,24.9,8.768,NA,NA,NA,9708,20.2,18.1
C323,3,2,R,E,5.75,0.0497,0.0437,0.015,4.179,119.5,326.8,NA,NA,NA,0.426,4.73,0.67,24.1,8.784,NA,NA,NA,8800,23.9,20
C323,3,2,R,F,4.43,0.0473,0.0447,0.014,4.593,137.9,378.3,NA,NA,NA,0.387,3.83,0.58,26,8.78,NA,NA,NA,9768,24.2,28.3
C323,3,3,F,A,73.2,0.0843,NA,1.166,5.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.589,NA,NA,NA,NA,NA,NA
C323,3,3,F,B,91.7,0.087,NA,1.164,6.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.622,NA,NA,NA,NA,NA,NA
C323,3,3,F,C,101,0.089,NA,1.269,6.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.721,NA,NA,NA,NA,NA,NA
C323,3,3,R,D,4.1,0.0477,NA,0.014,4.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.827,NA,NA,NA,NA,NA,NA
C323,3,3,R,E,4.95,0.0487,NA,0.016,5.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.818,NA,NA,NA,NA,NA,NA
C323,3,3,R,F,3.44,0.047,NA,0.012,5.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.816,NA,NA,NA,NA,NA,NA
C323,3,4,F,A,129,0.1187,0.0443,1.73,10.487,135.7,12.2,NA,NA,NA,0.584,78.37,8.04,25.9,8.755,38.5,0,119.4,2526,4071.1,3022.8
C323,3,4,F,B,134,0.132,0.0437,1.917,10.75,126.5,10.8,NA,NA,NA,0.576,88,8.49,26.7,8.673,45.2,0,117,2615,4368.5,3385.5
C323,3,4,F,C,132,0.1257,0.0443,1.651,11.815,101,10.6,NA,NA,NA,0.559,87.38,7.88,26.2,8.684,39.8,0,163.2,2520,3467.6,2842
C323,3,4,R,D,4.01,0.0497,0.044,0.013,6.945,247.7,323.4,NA,NA,NA,0.242,5.45,0.82,24.7,8.751,68.8,309.5,856.8,9627,19.1,10.6
C323,3,4,R,E,5.03,0.051,0.044,0.014,7.131,183.8,282.6,NA,NA,NA,0.352,5.37,0.81,25.7,8.758,65.5,284.3,882.7,8535,20.3,10.2
C323,3,4,R,F,3.56,0.0473,0.043,0.013,7.024,250,327.3,NA,NA,NA,0.283,4.26,0.54,25.6,8.756,71,306.2,873.5,9711,18.8,7.8
C323,3,5,F,A,169,0.174,0.0423,2.825,14.931,145.1,11.6,49168.3,16,34,0.563,141.51,8.63,27.4,8.678,8.8,0,0,2545,3823.2,3102.6
C323,3,5,F,B,175,0.1783,0.0427,2.888,14.465,101.5,10.6,47700,21.3,33,0.554,153.26,8.64,28.5,8.561,8,0,0,2772,3924,2872.6
C323,3,5,F,C,172,0.1743,0.0443,2.917,16.212,89.1,10,54541.7,18.3,34,0.555,159.61,8.79,29,8.582,8.6,0,0,2731,3815.6,2545.4
C323,3,5,R,D,3.92,0.0493,0.0447,0.011,8.471,241.1,301.8,822.7,30.7,32,0.284,6.53,0.31,24.8,8.752,64.4,298,825.3,8939,5.2,8
C323,3,5,R,E,4.67,0.0497,0.043,0.012,8.535,160.1,261,843.7,22.7,33,0.338,5.97,0.43,25.2,8.751,66.6,225.9,871.6,8117,12.4,8.4
C323,3,5,R,F,3.36,0.0493,0.0437,0.012,8.296,140.3,291.5,800.3,36.7,33,0.277,4.75,0.85,25.3,8.756,75.3,270.7,860.5,8391,6.3,4
D046,0,0,F,A,3.59,0.0457,0.042,0.135,0.33,20.5,333.3,39,28,33,0.44,1.99,0.48,25.6,7.861,105.2,479.2,NA,NA,NA,NA
D046,0,0,F,B,3.56,0.0447,0.0463,0.111,0.319,23.9,315.7,40.7,23,33,0.473,1.38,0.57,25.5,7.838,129.4,387.6,NA,NA,NA,NA
D046,0,0,F,C,3.74,0.045,0.043,0.109,0.328,7.2,292.8,31.7,13,34,0.522,1.58,0.56,25.7,7.808,122.6,374.7,NA,NA,NA,NA
D046,0,0,R,D,3.84,0.0443,0.043,0.113,0.324,11.3,344.1,38.7,2.7,33,0.494,2.02,0.52,24,7.834,122.6,414.4,NA,NA,NA,NA
D046,0,0,R,E,4,0.0543,0.0453,0.109,0.303,27.9,309.3,30.3,14.7,33,0.482,1.92,0.29,24.5,7.831,119.7,391.3,NA,NA,NA,NA
D046,0,0,R,F,4.02,0.045,0.043,0.118,0.324,7.8,326.4,35,5.3,35,0.49,1.46,0.75,25.8,7.83,107.2,507.1,NA,NA,NA,NA
D046,0,1,F,A,15.4,0.0507,NA,0.391,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.254,NA,NA,NA,NA,NA,NA
D046,0,1,F,B,16.3,0.0477,NA,0.41,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.417,NA,NA,NA,NA,NA,NA
D046,0,1,F,C,17.9,0.0507,NA,0.406,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.467,NA,NA,NA,NA,NA,NA
D046,0,1,R,D,15.1,0.0477,NA,0.376,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.396,NA,NA,NA,NA,NA,NA
D046,0,1,R,E,16.5,0.0477,NA,0.382,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.394,NA,NA,NA,NA,NA,NA
D046,0,1,R,F,16.9,0.047,NA,0.398,0.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.412,NA,NA,NA,NA,NA,NA
D046,0,2,F,A,45.6,0.0657,NA,2.062,1.074,NA,NA,NA,NA,NA,0.525,NA,NA,NA,8.542,NA,NA,NA,NA,NA,NA
D046,0,2,F,B,46.6,0.0657,NA,2.139,1.368,NA,NA,NA,NA,NA,0.494,NA,NA,NA,8.514,NA,NA,NA,NA,NA,NA
D046,0,2,F,C,49.1,0.074,NA,2.303,0.526,NA,NA,NA,NA,NA,0.5,NA,NA,NA,8.525,NA,NA,NA,NA,NA,NA
